region,month,inflation,year,date
KAB WONOSOBO,Mei,3.74,2026,5/1/2026
KAB WONOGIRI,Januari,0.07,2026,1/1/2026
KAB WONOGIRI,Februari,4.17,2026,2/1/2026
KAB WONOGIRI,Maret,3.63,2026,3/1/2026
KAB WONOGIRI,April,1.97,2026,4/1/2026
KAB WONOGIRI,Mei,4.05,2026,5/1/2026
KAB REMBANG,Januari,-0.05,2026,1/1/2026
KAB REMBANG,Februari,3.26,2026,2/1/2026
KAB REMBANG,Maret,3.19,2026,3/1/2026
KAB REMBANG,April,1.24,2026,4/1/2026
KAB REMBANG,Mei,3.5,2026,5/1/2026
KUDUS,Januari,0.39,2026,1/1/2026
KUDUS,Februari,3.26,2026,2/1/2026
KUDUS,Maret,2.28,2026,3/1/2026
KUDUS,April,1.67,2026,4/1/2026
KUDUS,Mei,4.03,2026,5/1/2026
KOTA SURAKARTA,Januari,-0.16,2026,1/1/2026
KOTA SURAKARTA,Februari,3.45,2026,2/1/2026
KOTA SURAKARTA,Maret,3.06,2026,3/1/2026
KOTA SURAKARTA,April,2.53,2026,4/1/2026
KOTA SURAKARTA,Mei,5.2,2026,5/1/2026
KOTA SEMARANG,Januari,-0.5,2026,1/1/2026
KOTA SEMARANG,Februari,2.68,2026,2/1/2026
KOTA SEMARANG,Maret,2.71,2026,3/1/2026
KOTA SEMARANG,April,2.06,2026,4/1/2026
KOTA SEMARANG,Mei,4.39,2026,5/1/2026
KOTA TEGAL,Januari,0.05,2026,1/1/2026
KOTA TEGAL,Februari,3.43,2026,2/1/2026
KOTA TEGAL,Maret,3.3,2026,3/1/2026
KOTA TEGAL,April,3.09,2026,4/1/2026
KOTA TEGAL,Mei,5.17,2026,5/1/2026
KAB GUNUNGKIDUL,Januari,0.81,2026,1/1/2026
KAB GUNUNGKIDUL,Februari,2.48,2026,2/1/2026
KAB GUNUNGKIDUL,Maret,3.2,2026,3/1/2026
KAB GUNUNGKIDUL,April,3.11,2026,4/1/2026
KAB GUNUNGKIDUL,Mei,3.75,2026,5/1/2026
KOTA YOGYAKARTA,Januari,0.22,2026,1/1/2026
KOTA YOGYAKARTA,Februari,3.13,2026,2/1/2026
KOTA YOGYAKARTA,Maret,2.94,2026,3/1/2026
KOTA YOGYAKARTA,April,2.55,2026,4/1/2026
KOTA YOGYAKARTA,Mei,3.47,2026,5/1/2026
KAB TULUNGAGUNG,Januari,0.43,2026,1/1/2026
KAB TULUNGAGUNG,Februari,3.07,2026,2/1/2026
KAB TULUNGAGUNG,Maret,2.05,2026,3/1/2026
KAB TULUNGAGUNG,April,3.02,2026,4/1/2026
KAB TULUNGAGUNG,Mei,4.37,2026,5/1/2026
JEMBER,Januari,-0.53,2026,1/1/2026
JEMBER,Februari,3.77,2026,2/1/2026
JEMBER,Maret,4.22,2026,3/1/2026
JEMBER,April,4.96,2026,4/1/2026
JEMBER,Mei,7.56,2026,5/1/2026
BANYUWANGI,Januari,0.17,2026,1/1/2026
BANYUWANGI,Februari,3.24,2026,2/1/2026
BANYUWANGI,Maret,3.4,2026,3/1/2026
BANYUWANGI,April,4.21,2026,4/1/2026
BANYUWANGI,Mei,7.27,2026,5/1/2026
KAB BOJONEGORO,Januari,1.39,2026,1/1/2026
KAB BOJONEGORO,Februari,4.53,2026,2/1/2026
KAB BOJONEGORO,Maret,5.15,2026,3/1/2026
KAB BOJONEGORO,April,4.22,2026,4/1/2026
KAB BOJONEGORO,Mei,6.68,2026,5/1/2026
KAB GRESIK,Januari,-0.85,2026,1/1/2026
KAB GRESIK,Februari,3.08,2026,2/1/2026
KAB GRESIK,Maret,3.79,2026,3/1/2026
KAB GRESIK,April,3.25,2026,4/1/2026
KAB GRESIK,Mei,5.16,2026,5/1/2026
SUMENEP,Januari,2.07,2026,1/1/2026
SUMENEP,Februari,4.67,2026,2/1/2026
SUMENEP,Maret,4.82,2026,3/1/2026
SUMENEP,April,4.85,2026,4/1/2026
SUMENEP,Mei,8.58,2026,5/1/2026
KOTA KEDIRI,Januari,-0.05,2026,1/1/2026
KOTA KEDIRI,Februari,4.05,2026,2/1/2026
KOTA KEDIRI,Maret,3.08,2026,3/1/2026
KOTA KEDIRI,April,3.01,2026,4/1/2026
KOTA KEDIRI,Mei,5.38,2026,5/1/2026
KOTA MALANG,Januari,0.21,2026,1/1/2026
KOTA MALANG,Februari,2.91,2026,2/1/2026
KOTA MALANG,Maret,2.73,2026,3/1/2026
KOTA MALANG,April,3.18,2026,4/1/2026
KOTA MALANG,Mei,4.46,2026,5/1/2026
KOTA PROBOLINGGO,Januari,-0.26,2026,1/1/2026
KOTA PROBOLINGGO,Februari,2.81,2026,2/1/2026
KOTA PROBOLINGGO,Maret,3.11,2026,3/1/2026
KOTA PROBOLINGGO,April,3.08,2026,4/1/2026
KOTA PROBOLINGGO,Mei,4.59,2026,5/1/2026
KOTA MADIUN,Januari,0.86,2026,1/1/2026
KOTA MADIUN,Februari,4.3,2026,2/1/2026
KOTA MADIUN,Maret,3.77,2026,3/1/2026
KOTA MADIUN,April,3.45,2026,4/1/2026
KOTA MADIUN,Mei,6.15,2026,5/1/2026
KOTA SURABAYA,Januari,1.52,2026,1/1/2026
KOTA SURABAYA,Februari,5.01,2026,2/1/2026
KOTA SURABAYA,Maret,4.54,2026,3/1/2026
KOTA SURABAYA,April,4.67,2026,4/1/2026
KOTA SURABAYA,Mei,6.66,2026,5/1/2026
KAB PANDEGLANG,Januari,1.79,2026,1/1/2026
KAB PANDEGLANG,Februari,7.22,2026,2/1/2026
KAB PANDEGLANG,Maret,7.04,2026,3/1/2026
KAB PANDEGLANG,April,4.52,2026,4/1/2026
KAB PANDEGLANG,Mei,4.98,2026,5/1/2026
KAB LEBAK,Januari,1.21,2026,1/1/2026
KAB LEBAK,Februari,6.15,2026,2/1/2026
KAB LEBAK,Maret,5.03,2026,3/1/2026
KAB LEBAK,April,4.66,2026,4/1/2026
KAB LEBAK,Mei,6.35,2026,5/1/2026
KOTA TANGERANG,Januari,1.07,2026,1/1/2026
KOTA TANGERANG,Februari,4,2026,2/1/2026
KOTA TANGERANG,Maret,4.21,2026,3/1/2026
KOTA TANGERANG,April,1.74,2026,4/1/2026
