commodity,year,month,price,date
Minyak Goreng Curah,2022,November,14040,11/1/2022
Jagung Tk. Peternak,2022,November,5312,11/1/2022
Beras Premium,2022,Desember,13001,12/1/2022
Beras Medium,2022,Desember,11405,12/1/2022
Kedelai Biji Kering,2022,Desember,14810,12/1/2022
Bawang Merah,2022,Desember,36090,12/1/2022
Bawang Putih (Bonggol),2022,Desember,26445,12/1/2022
Cabai Merah Keriting,2022,Desember,38414,12/1/2022
Cabai Rawit Merah,2022,Desember,51361,12/1/2022
Daging Sapi Murni,2022,Desember,135400,12/1/2022
Daging Ayam Ras,2022,Desember,36007,12/1/2022
Telur Ayam Ras,2022,Desember,29845,12/1/2022
Gula Pasir Lokal/Curah,2022,Desember,14307,12/1/2022
Tepung Terigu Curah,2022,Desember,11140,12/1/2022
Minyak Goreng Kemasan,2022,Desember,17988,12/1/2022
Minyak Goreng Curah,2022,Desember,14421,12/1/2022
Jagung Tk. Peternak,2022,Desember,5564,12/1/2022
Beras Premium,2023,Januari,13241,1/1/2023
Beras Medium,2023,Januari,11619,1/1/2023
Kedelai Biji Kering,2023,Januari,14969,1/1/2023
Bawang Merah,2023,Januari,38503,1/1/2023
Bawang Putih (Bonggol),2023,Januari,27801,1/1/2023
Cabai Merah Keriting,2023,Januari,40805,1/1/2023
Cabai Rawit Merah,2023,Januari,57664,1/1/2023
Daging Sapi Murni,2023,Januari,135632,1/1/2023
Daging Ayam Ras,2023,Januari,35612,1/1/2023
Telur Ayam Ras,2023,Januari,29253,1/1/2023
Gula Pasir Lokal/Curah,2023,Januari,14362,1/1/2023
Tepung Terigu Curah,2023,Januari,11190,1/1/2023
Tepung Terigu Kemasan,2023,Januari,,1/1/2023
Minyak Goreng Kemasan,2023,Januari,18045,1/1/2023
Minyak Goreng Curah,2023,Januari,14830,1/1/2023
Jagung Tk. Peternak,2023,Januari,5734,1/1/2023
Ikan Kembung,2023,Januari,,1/1/2023
Ikan Tongkol,2023,Januari,,1/1/2023
Ikan Bandeng,2023,Januari,,1/1/2023
Garam konsumsi,2023,Januari,,1/1/2023
Beras Premium,2023,Februari,13524,2/1/2023
Beras Medium,2023,Februari,11848,2/1/2023
Kedelai Biji Kering,2023,Februari,14931,2/1/2023
Bawang Merah,2023,Februari,38892,2/1/2023
Bawang Putih (Bonggol),2023,Februari,29288,2/1/2023
Cabai Merah Keriting,2023,Februari,43711,2/1/2023
Cabai Rawit Merah,2023,Februari,58589,2/1/2023
Daging Sapi Murni,2023,Februari,135061,2/1/2023
Daging Ayam Ras,2023,Februari,34412,2/1/2023
Telur Ayam Ras,2023,Februari,28210,2/1/2023
Gula Pasir Lokal/Curah,2023,Februari,14404,2/1/2023
Tepung Terigu Curah,2023,Februari,11226,2/1/2023
Tepung Terigu Kemasan,2023,Februari,,2/1/2023
Minyak Goreng Kemasan,2023,Februari,18207,2/1/2023
Minyak Goreng Curah,2023,Februari,15105,2/1/2023
Jagung Tk. Peternak,2023,Februari,5820,2/1/2023
Ikan Kembung,2023,Februari,40317,2/1/2023
Ikan Tongkol,2023,Februari,36954,2/1/2023
Ikan Bandeng,2023,Februari,35202,2/1/2023
Garam konsumsi,2023,Februari,,2/1/2023
Beras Premium,2023,Maret,13630,3/1/2023
Beras Medium,2023,Maret,11906,3/1/2023
Kedelai Biji Kering,2023,Maret,14912,3/1/2023
Bawang Merah,2023,Maret,36061,3/1/2023
